"Name","Race","Gender","Class","Realm","Guild","AchievementPoints","HonorableKills","Faction","AppearanceCount","CharacterAge","PlayedTime","AchievementsTotal","ilvl"
"Farbiosa",1,0,4,"Evermoon","Brodate Drzewa",19465,35258,"Alliance",3393,"13 years 1 months 2 days",13632044,23025,853.31
"Stronoff",2,0,1,"WoD","Mythic",19445,119776,"Horde",5046,"16 years 3 months 5 days",45665545,23505,848.56
"Dave",1,1,4,"Tauri","Outlaws",19435,48705,"Alliance",6106,"16 years 5 months 3 days",20032662,23025,848.56
"Fiendstorm",4,1,3,"Evermoon","Yin Yang",19390,44477,"Alliance",3267,"5 years 10 months 28 days",17896039,22920,850.6
"Oneepunchman",2,0,1,"Evermoon","Искатели легенд",19360,61357,"Horde",4547,"6 years 0 months 10 days",23146178,22880,851.75
"Forestdruid",4,0,11,"Tauri","Outlaws",19350,97385,"Alliance",3236,"15 years 5 months 22 days",28994957,22920,846.81
"Quro",10,1,5,"Evermoon","Entropy",19350,28110,"Horde",4306,"10 years 7 months 18 days",34153668,22880,852.27
"Etiiri",11,1,1,"Tauri","Outlaws",19340,68724,"Alliance",3342,"17 years 2 months 10 days",35407712,23070,841.06
"Leave",1,1,2,"Tauri","Outlaws",19315,64499,"Alliance",3174,"15 years 11 months 20 days",30626488,22890,851.44
"Rosszko",1,0,2,"Tauri","Lighting Darkness",19295,53847,"Alliance",3489,"17 years 2 months 28 days",75798743,22965,839.88
"Leorox",10,0,5,"Tauri","Guild of Multiverse",19280,28934,"Horde",3978,"13 years 8 months 6 days",28836145,23175,855.4
"Buldosier",1,0,6,"Tauri","BOOSTED",19265,33496,"Alliance",3177,"10 years 5 months 14 days",16248808,22610,855.56
"Arokh",10,0,3,"Evermoon","Competence Optional",19230,9456,"Horde",3088,"7 years 7 months 2 days",33959395,23555,850.27
"Asamoschra",1,1,8,"Tauri","Outlaws",19115,234227,"Alliance",2922,"14 years 9 months 0 days",42305037,22955,
"Nanahoshi",1,1,6,"Evermoon","Välhalla",19110,76562,"Alliance",3255,"6 years 6 months 7 days",39934344,22625,852.25
"Deathdealing",5,0,4,"Evermoon","Endless",19110,13317,"Horde",2820,"12 years 7 months 21 days",14791961,22680,853.44
"Zerololq",10,1,6,"Evermoon","Endless",19105,46842,"Horde",4452,"16 years 6 months 14 days",20684398,22820,858.38
"Zsozé",10,1,10,"Evermoon","Solo Leveling",19095,7998,"Horde",3785,"7 years 9 months 29 days",9472669,23440,854.75
"Nudal",2,1,1,"Evermoon","Rycerze Ortalionu",19075,57280,"Horde",3442,"14 years 1 months 25 days",54229330,22700,851.13
"Ágyúnaszád",2,0,1,"Tauri","Infernum",19050,69211,"Horde",4628,"12 years 10 months 1 days",31928547,22445,846.24
"Lichtgestalt",1,0,2,"Evermoon","Yin Yang",19025,50026,"Alliance",3159,"13 years 7 months 16 days",19681899,23230,855.69
"Cygram",2,0,1,"WoD","Final Ascension",19025,32997,"Horde",3832,"12 years 9 months 11 days",19832778,22425,847.31
"Sellendis",4,1,3,"Evermoon","Хранители Вечности",19025,10035,"Alliance",6497,"5 years 9 months 30 days",22955169,22640,850.88
"Polaak",8,0,3,"Tauri","Sapped girls cant say no",18975,73878,"Horde",3036,"11 years 9 months 23 days",31024219,22770,853.93
"Kegor",2,0,6,"Evermoon","Holy Crusaders",18935,19525,"Horde",3746,"11 years 4 months 13 days",26099812,23495,856.06
"Trelhy",2,0,4,"Evermoon","Endless",18905,48520,"Horde",3297,"17 years 6 months 30 days",29825554,22425,855.56
"Zahakka",11,1,5,"Evermoon","Defiance",18760,10214,"Alliance",3340,"7 years 5 months 22 days",21341593,22225,852.07
"Mejo",10,0,9,"Evermoon","Grupo Tera",18745,8280,"Horde",4693,"4 years 9 months 7 days",15914133,22200,850.53
"Domqq",10,1,2,"Evermoon","Endless",18740,20503,"Horde",3033,"2 years 6 months 0 days",12643426,23185,
"Zsozéatya",10,1,10,"Evermoon","Solo Leveling",18735,7260,"Horde",2818,"9 years 7 months 4 days",18884352,23405,822.38
"Matthas",1,0,8,"Evermoon","Logic",18730,5256,"Alliance",4221,"7 years 1 months 17 days",20957251,22195,851.19
"Daroth",5,0,4,"Tauri","",18720,74467,"Horde",3007,"14 years 1 months 26 days",22973842,22230,852.94
"Deusmortis",10,0,6,"Tauri","Infernum",18715,44709,"Horde",2572,"14 years 2 months 29 days",38965173,21925,850.38
"Natiry",10,1,2,"Evermoon","Resolve",18675,20105,"Horde",4460,"10 years 0 months 6 days",16340711,22580,816.63
"Maïev",8,1,3,"Tauri","Death Vengeance",18670,33787,"Horde",2996,"16 years 7 months 30 days",29511521,22285,846.33
"Niom",9,1,8,"Evermoon","Rycerze Ortalionu",18640,32788,"Horde",2110,"10 years 3 months 2 days",19407189,21540,851.67
"Leonídäsz",1,0,1,"Tauri","Outlaws",18635,18491,"Alliance",8734,"10 years 10 months 17 days",12332280,22395,846.38
"ßaße",4,1,11,"Tauri","Dawnguard",18620,11967,"Alliance",5941,"7 years 9 months 8 days",18781381,22630,854.44
"Royalfrees",1,0,5,"Tauri","BOOSTED",18620,5908,"Alliance",3846,"6 years 11 months 23 days",15950190,22470,849.4
"Meehbee",8,0,11,"Tauri","Public Enemies",18605,38477,"Horde",2820,"15 years 1 months 9 days",42145671,21825,852.31
"Artheros",10,0,6,"Evermoon","The Carnivorous Snigels",18590,7333,"Horde",3716,"5 years 10 months 11 days",10775115,21895,852.06
"Eryann",10,1,4,"Tauri","Darkey Mort",18570,13848,"Horde",4289,"16 years 9 months 17 days",13626554,21865,853.44
"Raynpala",10,0,2,"Tauri","",18515,48751,"Horde",3433,"17 years 6 months 30 days",23416848,21855,851.56
"Delamor",10,0,6,"Tauri","Unbound",18505,20712,"Horde",4529,"17 years 3 months 14 days",27853394,22540,847
"Criminal",2,0,1,"Tauri","Guild of Multiverse",18495,86055,"Horde",3246,"17 years 7 months 2 days",43362651,21660,848.31
"Trasig",26,1,10,"Evermoon","Impaired",18495,3610,"Horde",2428,"6 years 2 months 16 days",8406958,21945,850.31
"Fxdave",10,0,9,"Tauri","Conclusion",18490,39181,"Horde",2391,"15 years 11 months 16 days",31134208,21555,851.81
"Titanium",6,0,1,"WoD","Mythic",18480,105293,"Horde",3807,"17 years 7 months 1 days",33524699,22330,844.94
"Bamboothicc",25,1,10,"Evermoon","Mythic Regression",18480,12639,"Alliance",3992,"2 years 8 months 23 days",12029947,22135,849.13
"Midnïght",10,0,3,"WoD","True Horde",18475,20839,"Horde",3271,"13 years 7 months 25 days",16353950,22080,848.33
"Adriatic",1,0,6,"Evermoon","Хранители Вечности",18465,17881,"Alliance",2826,"6 years 9 months 2 days",14352592,21610,844.94
"Unohanasan",4,1,11,"Evermoon","Cara Máxima",18450,17515,"Alliance",3995,"4 years 2 months 23 days",15045854,22225,852.88
"Galvayra",11,1,8,"Evermoon","Test Drive",18435,9538,"Alliance",3070,"3 years 0 months 1 days",10947620,21955,855
"Dziarà",1,0,5,"Evermoon","Army of Divergent",18430,34055,"Alliance",4684,"8 years 0 months 14 days",15553013,24200,854.07
"Nakedchef",1,0,1,"Evermoon","Crows at Midnight",18390,125672,"Alliance",2890,"17 years 6 months 30 days",41968243,23180,
"Relya",10,1,9,"Tauri","Resurrection",18375,41329,"Horde",2638,"12 years 7 months 21 days",42840456,21895,849.07
"Frost",10,0,8,"Evermoon","Endless",18365,192671,"Horde",2658,"10 years 11 months 5 days",55243559,22675,
"Wojsilek",6,0,1,"Evermoon","Rycerze Ortalionu",18355,59926,"Horde",3185,"10 years 5 months 26 days",40600518,21325,844.06
"Ragebeast",9,0,3,"Evermoon","Competence Optional",18315,38846,"Horde",3564,"12 years 0 months 7 days",15766969,21650,848.47
"Laelythiel",10,1,3,"Tauri","Unbound",18310,24638,"Horde",3938,"10 years 11 months 7 days",15704133,21740,846.6
"Thomaslock",8,0,9,"Evermoon","Ace of Spadez",18305,25776,"Horde",2903,"5 years 7 months 7 days",10913266,21730,
"Topo",2,0,1,"Evermoon","Diamond Dogs",18305,22757,"Horde",5516,"7 years 3 months 10 days",19270218,21245,817.06
"Devience",1,0,6,"Evermoon","Defiance",18285,2059,"Alliance",3847,"6 years 4 months 19 days",12661119,23085,851.06
"Mentos",10,1,6,"Evermoon","Rycerze Ortalionu",18280,8198,"Horde",3186,"10 years 7 months 13 days",10350058,22185,852.25
"Outnumbered",2,0,1,"Evermoon","Hollywood Undead",18265,8295,"Horde",4161,"13 years 1 months 23 days",13445131,21485,853
"Spindarella",2,1,1,"Evermoon","The Echoes",18245,12800,"Horde",5665,"1 years 11 months 25 days",11378793,21405,856.56
"Silverleaf",4,1,3,"WoD","Coven of Capybaras",18235,311343,"Alliance",4671,"17 years 7 months 2 days",31421410,21980,853
"Sudenlydie",2,0,1,"Tauri","Public Enemies",18210,47082,"Horde",2737,"13 years 11 months 27 days",35196619,22740,845.06
"Breavers",1,0,2,"Tauri","Destroyer",18210,28858,"Alliance",3182,"11 years 8 months 24 days",23944464,21410,790
"Ashley",2,1,3,"Evermoon","Endless",18180,127097,"Horde",1981,"17 years 4 months 28 days",58185955,22325,
"Truesteel",1,1,2,"Evermoon","Crows at Midnight",18180,6069,"Alliance",3697,"6 years 11 months 19 days",22237158,22715,852.69
"Yellowshu",11,1,3,"Evermoon","Хранители Вечности",18155,27667,"Alliance",4971,"5 years 0 months 11 days",15015861,21705,831.19
"Gattel",4,1,11,"Evermoon","Leviathan",18140,43161,"Alliance",2112,"9 years 2 months 12 days",17403388,21360,853.69
"Lanthaela",2,1,1,"Evermoon","A Murder of Crows",18120,3702,"Horde",4656,"5 years 10 months 3 days",10582858,21410,851.81
"Szíventaláló",1,0,3,"Tauri","Sinn Féin",18095,53363,"Alliance",4645,"14 years 10 months 3 days",29778385,21850,847.47
"Badmad",8,1,11,"Evermoon","Vistustan",18065,143035,"Horde",2735,"9 years 6 months 27 days",24002432,22655,854.31
"Lincu",1,1,8,"Tauri","Çonquerors",18060,178845,"Alliance",2701,"16 years 6 months 21 days",32549806,20555,850.4
"Yamagasumi",26,1,10,"Tauri","Beton Logok Szar Karikkal",18045,6868,"Horde",3558,"9 years 1 months 8 days",19126098,20960,852.81
"Allymage",1,0,8,"Evermoon","Fekete Hold",18020,62797,"Alliance",2882,"16 years 6 months 14 days",23907629,21195,826.87
"Konan",10,1,2,"Evermoon","Who Cares",17940,1808,"Horde",3887,"9 years 2 months 25 days",9378874,23295,850.75
"Llýnch",10,1,5,"Evermoon","Endless",17935,65495,"Horde",2844,"6 years 3 months 1 days",20712710,23100,854.31
"Lisalia",10,1,2,"Evermoon","The Twilight Horde",17925,7602,"Horde",4354,"8 years 1 months 12 days",9395949,21345,854.75
"Cailon",1,0,8,"Evermoon","Crows at Midnight",17925,3392,"Alliance",3951,"2 years 0 months 27 days",7917445,22095,853.5
"Rektrander",1,0,6,"Tauri","BOOSTED",17910,34725,"Alliance",3142,"9 years 8 months 25 days",22317444,21130,849.5
"Arkanie",1,0,2,"Tauri","",17910,11904,"Alliance",3104,"15 years 8 months 2 days",17518243,21420,851.69
"Bowdancer",4,1,3,"Tauri","Sinn Féin",17900,38208,"Alliance",3532,"17 years 3 months 3 days",20061528,21380,849.6
"Khalli",10,0,2,"Evermoon","Solo Leveling",17885,13382,"Horde",2513,"6 years 5 months 0 days",16033925,20695,842.81
"Divinefist",1,1,2,"Evermoon","Pack of Lone Wolves",17870,37873,"Alliance",2377,"17 years 6 months 28 days",22923367,20570,852.93
"Blackhånd",2,0,1,"WoD","Mythic",17860,32252,"Horde",5277,"13 years 6 months 9 days",29073922,21670,
"Erza",10,1,2,"Evermoon","Endless",17840,45897,"Horde",2896,"17 years 2 months 28 days",28451729,20830,848.81
"Karrak",10,0,2,"Tauri","Death Vengeance",17835,57119,"Horde",2424,"13 years 8 months 8 days",37422429,21085,845.25
"Kaaronte",1,0,4,"Evermoon","Fekete Hold",17815,2801,"Alliance",2830,"5 years 5 months 15 days",12207126,22060,851.81
"Omnia",26,0,5,"Tauri","Beton Logok Szar Karikkal",17800,58436,"Horde",2336,"17 years 7 months 2 days",32960404,20865,851.19
"Freesh",10,0,4,"Tauri","Argenteus Corvus",17800,4800,"Horde",4681,"10 years 2 months 18 days",13249980,21715,851.31
"Agrael",10,0,2,"Tauri","Conclusion",17790,127572,"Horde",4809,"17 years 7 months 2 days",49297336,21415,850.25
"Picula",10,1,6,"Evermoon","A Murder of Crows",17775,11525,"Horde",2989,"15 years 5 months 17 days",13411133,23190,849.63
"Hershock",2,0,7,"Evermoon","Impact",17765,3029,"Horde",4430,"8 years 6 months 8 days",12490486,20655,848.38
"Farsight",2,1,7,"Evermoon","Competence Optional",17760,13042,"Horde",4040,"8 years 8 months 25 days",10494838,22685,854.31
"Kirgiz",4,0,1,"Tauri","BOOSTED",17730,7681,"Alliance",3254,"17 years 7 months 0 days",19282717,21880,851.5
"Ragingfists",6,0,7,"Tauri","The Executioners Of Sargeras",17715,33049,"Horde",2731,"17 years 5 months 0 days",33079675,20825,792.75
"Kunillia",11,1,7,"Evermoon","Chimken and the Nuggies",17715,3646,"Alliance",3421,"3 years 7 months 14 days",11002134,20905,853.25
"Wrathdwarf",3,0,2,"Evermoon","",17690,130792,"Alliance",2413,"17 years 7 months 2 days",44072635,19815,
"Peser",1,0,1,"Tauri","BOOSTED",17685,4931,"Alliance",4796,"12 years 11 months 7 days",17549722,21290,849.25
"Eurójackpot",2,1,7,"Tauri","Guild of Multiverse",17680,11069,"Horde",4588,"7 years 1 months 10 days",12605895,21160,847.56
"Washburne",8,0,11,"Evermoon","Искатели легенд",17675,1291,"Horde",3792,"7 years 0 months 3 days",16694957,22040,852.06
"Szappann",10,1,4,"Evermoon","Shadow Hunters",17655,23679,"Horde",2779,"17 years 7 months 2 days",35553521,20560,766.06
"ßorah",8,0,8,"Evermoon","Wipes on Tresh",17655,4613,"Horde",3043,"6 years 10 months 29 days",11982489,22845,848.87
"Arathea",10,1,5,"Tauri","Darkey Mort",17640,62743,"Horde",2427,"16 years 10 months 16 days",97042949,21160,
"Mythal",1,0,2,"Evermoon","Logic",17630,4214,"Alliance",4673,"5 years 8 months 8 days",9622563,22360,852.88
"Layanara",8,1,3,"Tauri","Bait Raid",17620,156863,"Horde",2166,"17 years 2 months 12 days",27921977,20860,766
"Chalz",10,1,8,"Evermoon","Holy Crusaders",17620,43243,"Horde",2125,"15 years 11 months 3 days",19669750,22600,848.25
"Dwayrid",8,1,8,"Tauri","Unbound",17615,19274,"Horde",4664,"11 years 7 months 24 days",15384829,20765,786.67
"Colaider",10,0,3,"Evermoon","Skill Issue",17610,9517,"Horde",2755,"7 years 0 months 9 days",12749201,20480,849.47
"Vadászkürt",22,0,3,"Tauri","",17595,75895,"Alliance",2392,"16 years 6 months 10 days",40009858,-1,
"Рилд",2,0,1,"Evermoon","Искатели легенд",17580,3628,"Horde",4046,"6 years 1 months 20 days",8042559,21840,850.88
"Weary",2,0,1,"Evermoon","Wanderers of Azeroth",17575,51201,"Horde",3984,"8 years 10 months 21 days",31597814,21065,852.31
"Lyantha",10,1,3,"Evermoon","Искатели легенд",17570,68963,"Horde",4017,"7 years 1 months 4 days",17913355,20910,851.33
"Fighly",11,1,7,"Tauri","Fire Falcon",17550,85390,"Alliance",2535,"17 years 6 months 27 days",37782915,20745,
"Meløni",10,1,2,"Evermoon","STUNLØCK SØCIETY",17550,12487,"Horde",3142,"7 years 11 months 30 days",15632671,21065,
"Kindasusngl",1,1,5,"Evermoon","Test Drive",17545,23416,"Alliance",2283,"5 years 3 months 10 days",16318515,20860,849.53
"Biucy",10,1,5,"Tauri","Pathetica",17515,37644,"Horde",3329,"15 years 2 months 7 days",37901671,20750,850.93
"Vanybaby",4,1,11,"Tauri","SZIA URAM",17495,29610,"Alliance",2033,"16 years 6 months 24 days",37717392,20305,851.13
"Wentress",1,1,9,"Tauri","Destroyer",17485,30828,"Alliance",3047,"14 years 5 months 4 days",13884387,20720,851.8
"Izgrell",10,1,8,"Evermoon","Shadow Hunters",17480,11968,"Horde",3099,"6 years 0 months 15 days",9361867,20345,851.33
"Méthis",1,1,2,"Tauri","War Of Titans",17465,40812,"Alliance",3978,"14 years 1 months 11 days",25265123,20545,836
"Pricus",11,0,3,"Evermoon","Army of Divergent",17460,9660,"Alliance",2986,"10 years 2 months 30 days",22047541,20835,853.5
"Jesen",1,0,2,"Tauri","Excluded",17435,87260,"Alliance",3100,"16 years 1 months 9 days",26622470,20445,842.75
"Redfoxi",8,1,7,"Tauri","The Executioners Of Sargeras",17420,72325,"Horde",2277,"15 years 2 months 0 days",23952379,19940,851.19
"Scorpion",10,1,2,"Tauri","Guild of Multiverse",17415,21180,"Horde",3075,"16 years 2 months 11 days",25442959,23640,
"Kaspiyan",7,0,8,"Evermoon","Lords of Anatolia",17410,4714,"Alliance",4658,"2 years 3 months 22 days",6579336,20900,849.67
"Kipeka",8,0,8,"Tauri","Public Enemies",17405,15411,"Horde",1956,"16 years 5 months 18 days",39018166,19780,856.31
"Ceasars",4,0,3,"Evermoon","Dimension",17370,67206,"Alliance",2414,"11 years 0 months 28 days",33734805,20995,849.13
"Tazli",1,0,5,"Tauri","Outlaws",17370,13086,"Alliance",4603,"7 years 3 months 23 days",12958204,20425,853.53
"Axwel",10,0,1,"Evermoon","",17365,6043,"Horde",3469,"4 years 5 months 29 days",14473346,20215,853.94
"Mickynine",6,0,11,"Evermoon","Impaired",17365,2614,"Horde",3354,"2 years 2 months 24 days",6383561,22350,849.94
"Crachit",1,1,9,"Tauri","",17350,42133,"Alliance",2121,"17 years 6 months 19 days",19655765,19785,840.2
"Zerololqz",10,1,6,"Evermoon","Endless",17335,12330,"Horde",2026,"16 years 1 months 3 days",11052201,22820,827.38
"Rickettsia",1,1,9,"Evermoon","Chimken and the Nuggies",17335,9354,"Alliance",3159,"4 years 8 months 9 days",12505309,20615,848
"Biliards",6,0,1,"Tauri","Infernum",17315,19475,"Horde",3209,"16 years 8 months 14 days",15992127,20005,844.88
"Flapjack",2,1,6,"Evermoon","STUNLØCK SØCIETY",17250,77957,"Horde",1889,"17 years 3 months 2 days",25653805,22775,848.88
"Chronos",8,1,3,"Evermoon","Ninjas in Potatoes",17250,10461,"Horde",2658,"12 years 7 months 14 days",15653082,20410,848.53
"Gasaiyunoo",10,1,8,"Tauri","Infernum",17235,121365,"Horde",1682,"15 years 0 months 8 days",39304790,-1,
"Rézbot",1,0,1,"Tauri","BOOSTED",17210,5368,"Alliance",3054,"10 years 4 months 24 days",13113171,20040,844.19
"Falchion",2,1,6,"Tauri","The Glory Avengers",17175,30508,"Horde",3262,"15 years 5 months 1 days",26451992,20165,
"Waterbladev",1,0,2,"Evermoon","Crows at Midnight",17150,1276,"Alliance",3072,"14 years 2 months 14 days",15900983,20640,839.31
"Dehydra",9,1,5,"Tauri","Csak semmi CICÓ",17135,109574,"Horde",2040,"13 years 10 months 29 days",25948498,-1,
"Privya",4,1,11,"Evermoon","Fekete Hold",17115,7303,"Alliance",3659,"1 years 9 months 15 days",9817444,21890,852.13
"Celindros",10,1,5,"Tauri","Guild of Multiverse",17095,21348,"Horde",2453,"14 years 6 months 4 days",17772558,19880,848.4
"Lloth",1,0,8,"Evermoon","Test Drive",17090,3547,"Alliance",3009,"2 years 11 months 14 days",5779343,19425,850.8
"Adrammelech",4,0,11,"Tauri","Unga Bunga",17080,2666,"Alliance",3008,"7 years 11 months 0 days",12099282,20060,849.75
"Firedragon",10,0,8,"Tauri","Unbound",17075,135195,"Horde",2339,"17 years 7 months 2 days",46075453,20065,773.87
"Lucyeth",10,1,4,"Evermoon","Pálmafa",17070,80249,"Horde",1686,"15 years 8 months 20 days",32944355,20605,850.31
"Abodat",2,0,6,"Tauri","",17035,36712,"Horde",1799,"15 years 5 months 13 days",27856971,20185,848.69
"Pepyto",5,0,3,"Tauri","The Executioners Of Sargeras",17030,165465,"Horde",2180,"17 years 5 months 30 days",49453203,19965,
"Hansoulo",3,0,9,"Tauri","Outlaws",17015,26585,"Alliance",1586,"5 years 7 months 11 days",14353084,23775,
"Kilrogen",10,0,6,"Tauri","Infernum",17005,24105,"Horde",2478,"14 years 6 months 10 days",32795426,20275,853.38
"Süntamás",5,0,9,"Tauri","Clockwork Orange",17000,20439,"Horde",2177,"12 years 9 months 9 days",19513053,20495,841.2
"Kayleka",10,1,2,"Tauri","Behemots Division",17000,9295,"Horde",3939,"11 years 6 months 26 days",13061350,21640,854
"Taoshi",26,1,4,"Evermoon","Vistustan",17000,1852,"Horde",2720,"9 years 2 months 28 days",10234023,20305,851.06
"Logen",4,0,1,"WoD","Spark of Glory",16995,39907,"Alliance",3884,"17 years 7 months 1 days",31474312,20085,836.06
"Dusk",6,0,11,"Evermoon","",16960,79936,"Horde",1751,"17 years 6 months 29 days",39844024,20115,817.94
"Nathas",5,0,1,"Evermoon","Vistustan",16955,7697,"Horde",3215,"4 years 9 months 18 days",12585056,20935,847.75
"Velaz",1,0,2,"Tauri","Low Fast Fox",16940,95837,"Alliance",1957,"15 years 5 months 1 days",54772943,20075,853.13
"Soullesslady",11,1,6,"Tauri","Die Hard",16935,125316,"Alliance",1747,"14 years 2 months 18 days",54488688,-1,
"Shaie",4,1,11,"Evermoon","Offline",16910,641248,"Alliance",1345,"10 years 7 months 20 days",70086031,-1,
"Frinimist",10,1,6,"Evermoon","Order of the Filth",16910,1363,"Horde",3965,"6 years 1 months 11 days",9344146,19770,850.69
"Mushu",2,1,1,"Tauri","Conclusion",16895,150509,"Horde",2308,"14 years 8 months 13 days",40782032,19930,
"Csillargang",10,1,6,"Evermoon","Despair",16880,19398,"Horde",1887,"4 years 3 months 6 days",13540487,19645,
"Celetricy",10,1,8,"Evermoon","Solo Leveling",16880,3560,"Horde",2354,"3 years 10 months 21 days",8260431,19300,761.47
"Gomenarouge",7,1,4,"Evermoon","Test Drive",16875,15176,"Alliance",2209,"8 years 1 months 7 days",8954122,20840,852.75
"Unnar",4,0,3,"WoD","Coven of Capybaras",16865,5033,"Alliance",3958,"14 years 8 months 8 days",8052364,20480,850.33
"Luminos",1,0,2,"Evermoon","Ex Nihilo",16855,31436,"Alliance",3047,"17 years 4 months 29 days",39332882,22640,854.19
"Zuldaman",8,0,8,"Tauri","E T A",16855,25345,"Horde",3076,"17 years 6 months 29 days",23696745,19770,844.13
"Nindjaturtle",2,0,4,"Evermoon","Pravednici",16840,5775,"Horde",2866,"5 years 5 months 18 days",8205415,19765,826.88
"Ivkomdfk",1,0,1,"Evermoon","Crows at Midnight",16840,4150,"Alliance",3086,"1 years 11 months 20 days",7168476,20540,848.35
"Dexourius",5,0,9,"Evermoon","The Echoes",16835,11969,"Horde",5977,"7 years 0 months 16 days",9039320,19765,731.8
"Ramsses",2,1,1,"Evermoon","Competence Optional",16825,62355,"Horde",2139,"17 years 6 months 30 days",54016311,19290,
"Nèfertary",11,1,7,"Evermoon","Thunder",16780,6002,"Alliance",3475,"4 years 10 months 26 days",15238929,20030,
"Sorsus",10,0,9,"Evermoon","Orden Oscura",16770,4496,"Horde",2764,"6 years 2 months 18 days",12618059,19680,847.2
"Farfello",2,0,1,"Evermoon","Czechoslovakia",16765,20742,"Horde",4052,"6 years 0 months 3 days",9965625,20065,854.69
"Juakali",8,1,7,"Evermoon","Aurora",16750,18178,"Horde",4926,"17 years 3 months 6 days",19466931,23335,
"Kobhra",4,0,3,"Evermoon","Yin Yang",16745,16117,"Alliance",2984,"5 years 11 months 4 days",14808841,19435,840
"Izzmo",3,0,3,"Evermoon","kann das nicht mehr",16740,29115,"Alliance",1937,"12 years 4 months 23 days",17690443,21995,848
"Highan",3,0,1,"Evermoon","Bekarty Przymierza",16740,8422,"Alliance",3422,"6 years 9 months 20 days",10390220,19220,816.29
"Sziazul",10,1,1,"Tauri","",16735,239374,"Horde",2176,"15 years 11 months 8 days",48993641,20445,
"Sasszem",10,0,3,"Tauri","The Executioners Of Sargeras",16735,21972,"Horde",2438,"14 years 8 months 8 days",19994328,20970,
"Hunder",2,0,8,"Tauri","",16710,176293,"Horde",1727,"16 years 5 months 3 days",34250023,19630,
"Delisszima",2,1,1,"Evermoon","Pálmafa",16705,30888,"Horde",2412,"17 years 5 months 25 days",49859983,19585,852.44
"Nethxd",2,1,1,"Evermoon","boats n hoes",16690,3356,"Horde",9171,"5 years 2 months 19 days",7786303,21715,850
"Raynira",4,1,11,"Tauri","Everything is Awesome",16680,7929,"Alliance",3634,"16 years 7 months 0 days",13388604,20890,853.5
"Trilliax",22,0,9,"Evermoon","Yin Yang",16675,15514,"Alliance",2552,"5 years 1 months 18 days",11458310,20215,853.06
"Clusterfuçk",6,0,2,"Evermoon","Make Love Not Warcraft",16635,82557,"Horde",1401,"16 years 2 months 13 days",37194471,19405,
